idx,gnb_timestamp,gnb_offset,gnb_size,gnb_rssi,gnb_detection_metric,sniffer_index,match,reason,sniffer_peak_db,sniffer_peak_idx,time_shift_samples,time_shift_ms,sniffer_index_aligned,median_shift_samples,in_range_after,matched_after,shift_after_samples
1,18-Aug-2025 20:07:21,0,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
2,18-Aug-2025 20:07:21,1668,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
3,18-Aug-2025 20:07:21,3336,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
4,18-Aug-2025 20:07:21,5004,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
5,18-Aug-2025 20:07:21,6672,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
6,18-Aug-2025 20:07:21,8340,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
7,18-Aug-2025 20:07:21,10008,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
8,18-Aug-2025 20:07:21,11676,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
9,18-Aug-2025 20:07:21,13344,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
10,18-Aug-2025 20:07:21,15012,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
11,18-Aug-2025 20:07:21,16680,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
12,18-Aug-2025 20:07:21,18348,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
13,18-Aug-2025 20:07:21,20016,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
14,18-Aug-2025 20:07:21,21684,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
15,18-Aug-2025 20:07:21,23352,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
16,18-Aug-2025 20:07:21,25020,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
17,18-Aug-2025 20:07:21,26688,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
18,18-Aug-2025 20:07:21,28356,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
19,18-Aug-2025 20:07:21,30024,1668,NaN,NaN,NaN,0,index_out_of_sniffer_range,NaN,NaN,NaN,NaN,NaN,-114667,0,0,NaN
